# command:    /usr/local/infernal/1.0/bin/cmsearch --ga --tabfile rfam12-i1p0/Klebsiella_pneumoniae_subsp._pneumoniae_KpMDU1.29.tbl ./GPIPE.29.rfam12.i1p0.cm /panfs/pan1.be-md.ncbi.nlm.nih.gov/gpipe/bacterial_pipeline/data19/Klebsiella_pneumoniae_subsp._pneumoniae_KpMDU1/591958-DENOVO-20150227-1757.1482624/output/bacterial_annot/AMWO01.annotation.nucleotide.fa
# date:       Thu Apr  2 15:09:29 2015
# num seqs:   521
# dbsize(Mb): 11.396502
#
# Pre-search info for CM 1: RNaseP_bact_a
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -       1.340    13.57   0.0001  00:05:15.53
#   2   cm  cyk  loc  1e-07       0.425    11.64  4.0e-05  00:00:04.73
#   3   cm  ins  loc  1e-15     3.3e-30   100.00  1.1e-34  00:00:12.82
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:05:33.09
#
#
# CM: RNaseP_bact_a
#                                            target coord   query coord                         
#                                  ----------------------  ------------                         
# target name                           start        stop  start   stop    bit sc   E-value  GC%
# -------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|480514353|gb|AMWO01000367.1|        1210         828      1    367    298.99  1.07e-95   62
#
# Post-search info for CM 1: RNaseP_bact_a
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -       1.340        2    0.0001   0.0001
#   2   cm  cyk  loc  1e-07       0.425        1   4.0e-05  9.3e-05
#   3   cm  ins  loc  1e-15     3.3e-30        1   1.1e-34  3.4e-05
#
# expected time    actual time
# -------------  -------------
#   00:05:33.09    00:05:02.00
#
# Pre-search info for CM 2: FMN
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -      10.155    11.20   0.0004  00:01:38.47
#   2   cm  cyk  loc  1e-07       3.247    10.79   0.0001  00:00:02.15
#   3   cm  ins  loc  1e-15     9.7e-17    74.00  1.1e-21  00:00:04.56
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:01:45.19
#
#
# CM: FMN
#                                            target coord   query coord                         
#                                  ----------------------  ------------                         
# target name                           start        stop  start   stop    bit sc   E-value  GC%
# -------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|480514417|gb|AMWO01000360.1|       18957       18806      1    140    123.79  2.64e-30   59
#
# Post-search info for CM 2: FMN
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -      10.155       17    0.0004   0.0007
#   2   cm  cyk  loc  1e-07       3.247        1    0.0001  3.8e-05
#   3   cm  ins  loc  1e-15     9.7e-17        1   1.1e-21  1.3e-05
#
# expected time    actual time
# -------------  -------------
#   00:01:45.19    00:02:03.00
#
# Pre-search info for CM 3: snoPyro_CD
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -     130.625     9.72   0.0012  00:00:54.39
#   2   cm  cyk  loc  1e-07      41.591     9.06   0.0004  00:00:00.74
#   3   cm  ins  loc  1e-15     2.0e-06    38.00  9.9e-12  00:00:01.58
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:00:56.72
#
#
# CM: snoPyro_CD
#                                            target coord   query coord                         
#                                  ----------------------  ------------                         
# target name                           start        stop  start   stop    bit sc   E-value  GC%
# -------------------------------  ----------  ----------  -----  -----  --------  --------  ---
#
# Post-search info for CM 3: snoPyro_CD
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -     130.625       69    0.0012   0.0008
#   2   cm  cyk  loc  1e-07      41.591       48    0.0004   0.0005
#   3   cm  ins  loc  1e-15     2.0e-06        0   9.9e-12  0.0e+00
#
# expected time    actual time
# -------------  -------------
#   00:00:56.72    00:01:07.00
#
# Pre-search info for CM 4: SIB_RNA
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -      41.558    11.42   0.0007  00:01:54.88
#   2   cm  cyk  loc  1e-07      13.197     8.99   0.0002  00:00:02.03
#   3   cm  ins  loc  1e-15     1.2e-11    56.00  1.5e-16  00:00:04.53
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:02:01.45
#
#
# CM: SIB_RNA
#                                            target coord   query coord                         
#                                  ----------------------  ------------                         
# target name                           start        stop  start   stop    bit sc   E-value  GC%
# -------------------------------  ----------  ----------  -----  -----  --------  --------  ---
#
# Post-search info for CM 4: SIB_RNA
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -      41.558       15    0.0007   0.0003
#   2   cm  cyk  loc  1e-07      13.197        1    0.0002  2.6e-05
#   3   cm  ins  loc  1e-15     1.2e-11        0   1.5e-16  0.0e+00
#
# expected time    actual time
# -------------  -------------
#   00:02:01.45    00:02:08.00
#
# Pre-search info for CM 5: S15
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -      28.971    10.14   0.0006  00:01:31.43
#   2   cm  cyk  loc  1e-07       9.207     9.40   0.0002  00:00:01.15
#   3   cm  ins  loc  1e-15     2.0e-07    35.00  1.9e-12  00:00:02.70
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:01:35.28
#
#
# CM: S15
#                                            target coord   query coord                         
#                                  ----------------------  ------------                         
# target name                           start        stop  start   stop    bit sc   E-value  GC%
# -------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|480514314|gb|AMWO01000372.1|       17350       17235      1    117    111.98  2.96e-31   40
#
# Post-search info for CM 5: S15
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -      28.971       41    0.0006   0.0010
#   2   cm  cyk  loc  1e-07       9.207        7    0.0002   0.0001
#   3   cm  ins  loc  1e-15     2.0e-07        1   1.9e-12  1.0e-05
#
# expected time    actual time
# -------------  -------------
#   00:01:35.28    00:01:35.00
#
# Pre-search info for CM 6: SAM
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -      78.333    10.73   0.0030  00:01:24.39
#   2   cm  cyk  loc  1e-07       3.924    11.19   0.0002  00:00:13.05
#   3   cm  ins  loc  1e-15     1.8e-08    44.00  1.6e-13  00:00:05.97
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:01:43.43
#
#
# CM: SAM
#                                            target coord   query coord                         
#                                  ----------------------  ------------                         
# target name                           start        stop  start   stop    bit sc   E-value  GC%
# -------------------------------  ----------  ----------  -----  -----  --------  --------  ---
#
# Post-search info for CM 6: SAM
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -      78.333       42    0.0030   0.0016
#   2   cm  cyk  loc  1e-07       3.924        1    0.0002  3.7e-05
#   3   cm  ins  loc  1e-15     1.8e-08        0   1.6e-13  0.0e+00
#
# expected time    actual time
# -------------  -------------
#   00:01:43.43    00:01:33.00
#
# Pre-search info for CM 7: Purine
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -     693.453     7.78   0.0084  00:01:11.74
#   2   cm  cyk  loc  1e-07      33.535    10.60   0.0004  00:00:10.84
#   3   cm  ins  loc  1e-15     7.4e-06    37.00  6.3e-11  00:00:03.35
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:01:25.94
#
#
# CM: Purine
#                                            target coord   query coord                         
#                                  ----------------------  ------------                         
# target name                           start        stop  start   stop    bit sc   E-value  GC%
# -------------------------------  ----------  ----------  -----  -----  --------  --------  ---
#
# Post-search info for CM 7: Purine
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -     693.453       72    0.0084   0.0009
#   2   cm  cyk  loc  1e-07      33.535        0    0.0004  0.0e+00
#   3   cm  ins  loc  1e-15     7.4e-06        0   6.3e-11  0.0e+00
#
# expected time    actual time
# -------------  -------------
#   00:01:25.94    00:01:23.00
#
# Pre-search info for CM 8: Cobalamin
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -      24.576     9.06   0.0016  00:02:29.26
#   2   cm  cyk  loc  1e-07       1.180    10.64  7.5e-05  00:00:19.35
#   3   cm  ins  loc  1e-15     5.3e-06    30.00  9.0e-11  00:00:09.48
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:02:58.10
#
#
# CM: Cobalamin
#                                            target coord   query coord                         
#                                  ----------------------  ------------                         
# target name                           start        stop  start   stop    bit sc   E-value  GC%
# -------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|480518591|gb|AMWO01000009.1|       11565       11752      1    191     94.37  2.52e-25   55
  gi|480514693|gb|AMWO01000344.1|        4425        4247      1    191     94.30  2.66e-25   59
#
# Post-search info for CM 8: Cobalamin
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -      24.576       21    0.0016   0.0014
#   2   cm  cyk  loc  1e-07       1.180        2   7.5e-05   0.0001
#   3   cm  ins  loc  1e-15     5.3e-06        2   9.0e-11  3.2e-05
#
# expected time    actual time
# -------------  -------------
#   00:02:58.10    00:02:57.00
#
# Pre-search info for CM 9: T-box
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -       1.099    16.02   0.0002  00:04:05.08
#   2   cm  cyk  loc  1e-07       0.347    11.13  4.9e-05  00:00:03.48
#   3   cm  ins  loc  1e-15     2.1e-25    93.00  4.2e-30  00:00:11.85
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:04:20.43
#
#
# CM: T-box
#                                            target coord   query coord                         
#                                  ----------------------  ------------                         
# target name                           start        stop  start   stop    bit sc   E-value  GC%
# -------------------------------  ----------  ----------  -----  -----  --------  --------  ---
#
# Post-search info for CM 9: T-box
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -       1.099        0    0.0002  0.0e+00
#   2   cm  cyk  loc  1e-07       0.347        0   4.9e-05  0.0e+00
#   3   cm  ins  loc  1e-15     2.1e-25        0   4.2e-30  0.0e+00
#
# expected time    actual time
# -------------  -------------
#   00:04:20.43    00:04:40.00
#
# Pre-search info for CM 10: RNaseP_arch
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -       1.332    13.76   0.0001  00:03:56.83
#   2   cm  cyk  loc  1e-07       0.426     8.44  4.0e-05  00:00:03.19
#   3   cm  ins  loc  1e-15     3.7e-27    84.00  9.8e-32  00:00:10.18
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:04:10.21
#
#
# CM: RNaseP_arch
#                                            target coord   query coord                         
#                                  ----------------------  ------------                         
# target name                           start        stop  start   stop    bit sc   E-value  GC%
# -------------------------------  ----------  ----------  -----  -----  --------  --------  ---
#
# Post-search info for CM 10: RNaseP_arch
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -       1.332        1    0.0001  8.8e-05
#   2   cm  cyk  loc  1e-07       0.426        1   4.0e-05  8.7e-05
#   3   cm  ins  loc  1e-15     3.7e-27        0   9.8e-32  0.0e+00
#
# expected time    actual time
# -------------  -------------
#   00:04:10.21    00:04:05.00
#
# Pre-search info for CM 11: DnaX
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -     123.515     9.30   0.0011  00:00:50.79
#   2   cm  cyk  loc  1e-07      39.597     7.68   0.0003  00:00:00.93
#   3   cm  ins  loc  1e-15     2.5e-06    35.00  1.4e-11  00:00:01.35
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:00:53.08
#
#
# CM: DnaX
#                                            target coord   query coord                         
#                                  ----------------------  ------------                         
# target name                           start        stop  start   stop    bit sc   E-value  GC%
# -------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|480517460|gb|AMWO01000112.1|          62         126      1     65     84.90  2.82e-20   66
#
# Post-search info for CM 11: DnaX
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -     123.515       94    0.0011   0.0009
#   2   cm  cyk  loc  1e-07      39.597       16    0.0003   0.0002
#   3   cm  ins  loc  1e-15     2.5e-06        1   1.4e-11  5.7e-06
#
# expected time    actual time
# -------------  -------------
#   00:00:53.08    00:02:26.00
#
# Pre-search info for CM 12: RtT
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -      36.966    11.18   0.0007  00:02:32.40
#   2   cm  cyk  loc  1e-07      11.746     9.74   0.0002  00:00:02.05
#   3   cm  ins  loc  1e-15     5.5e-08    45.00  6.0e-13  00:00:04.01
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:02:38.46
#
#
# CM: RtT
#                                            target coord   query coord                         
#                                  ----------------------  ------------                         
# target name                           start        stop  start   stop    bit sc   E-value  GC%
# -------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|480517138|gb|AMWO01000150.1|       13697       13860      1    130     55.82  8.32e-11   51
  gi|480517138|gb|AMWO01000150.1|       13475       13638      1    130     55.04  1.33e-10   51
  gi|480517138|gb|AMWO01000150.1|       12893       13056      1    130     50.06  2.64e-09   54
  gi|480515737|gb|AMWO01000266.1|       21138       21269      1    130    130.82  2.37e-30   60
  gi|480515737|gb|AMWO01000266.1|       21313       21444      1    130    129.79  4.38e-30   60
  gi|480515737|gb|AMWO01000266.1|       20836       20969      1    130    113.37  8.34e-26   57
  gi|480515737|gb|AMWO01000266.1|       21489       21619      1    130    108.40  1.64e-24   60
  gi|480513945|gb|AMWO01000402.1|         410         277      1    130    100.27  2.17e-22   61
#
# Post-search info for CM 12: RtT
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -      36.966       57    0.0007   0.0011
#   2   cm  cyk  loc  1e-07      11.746       15    0.0002   0.0002
#   3   cm  ins  loc  1e-15     5.5e-08        8   6.0e-13   0.0001
#
# expected time    actual time
# -------------  -------------
#   00:02:38.46    00:03:55.00
#
# Pre-search info for CM 13: K_chan_RES
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -      53.938    11.55   0.0007  00:02:04.72
#   2   cm  cyk  loc  1e-07      17.138    10.68   0.0002  00:00:01.68
#   3   cm  ins  loc  1e-15     6.5e-10    51.00  6.2e-15  00:00:03.42
