# command:    /usr/local/infernal/1.0/bin/cmsearch --ga --tabfile rfam12-i1p0/Pseudomonas_putida_W619.29.tbl ./GPIPE.29.rfam12.i1p0.cm /panfs/pan1.be-md.ncbi.nlm.nih.gov/gpipe/bacterial_pipeline/data19/Pseudomonas_putida_W619/20248-DENOVO-20150207-1327.1452624/output/bacterial_annot/ASM1944v1.annotation.nucleotide.fa
# date:       Thu Apr  2 15:09:12 2015
# num seqs:   1
# dbsize(Mb): 11.548660
#
# Pre-search info for CM 1: RNaseP_bact_a
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -       1.358    13.57   0.0001  00:04:50.67
#   2   cm  cyk  loc  1e-07       0.431    11.64  4.0e-05  00:00:05.36
#   3   cm  ins  loc  1e-15     3.4e-30   100.00  1.1e-34  00:00:13.23
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:05:09.27
#
#
# CM: RNaseP_bact_a
#                                        target coord   query coord                         
#                              ----------------------  ------------                         
# target name                       start        stop  start   stop    bit sc   E-value  GC%
# ---------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|169757190|gb|CP000949.1|     1028320     1028693      1    367    326.27  1.15e-104   59
#
# Post-search info for CM 1: RNaseP_bact_a
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -       1.358        1    0.0001  9.3e-05
#   2   cm  cyk  loc  1e-07       0.431        1   4.0e-05  9.3e-05
#   3   cm  ins  loc  1e-15     3.4e-30        1   1.1e-34  3.2e-05
#
# expected time    actual time
# -------------  -------------
#   00:05:09.27    00:05:13.00
#
# Pre-search info for CM 2: FMN
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -      10.291    11.20   0.0004  00:01:39.78
#   2   cm  cyk  loc  1e-07       3.290    10.79   0.0001  00:00:02.18
#   3   cm  ins  loc  1e-15     9.9e-17    74.00  1.1e-21  00:00:04.55
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:01:46.51
#
#
# CM: FMN
#                                        target coord   query coord                         
#                              ----------------------  ------------                         
# target name                       start        stop  start   stop    bit sc   E-value  GC%
# ---------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|169757190|gb|CP000949.1|      639408      639267      1    140    107.63  6.77e-26   64
#
# Post-search info for CM 2: FMN
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -      10.291        6    0.0004   0.0002
#   2   cm  cyk  loc  1e-07       3.290        2    0.0001  8.0e-05
#   3   cm  ins  loc  1e-15     9.9e-17        1   1.1e-21  1.2e-05
#
# expected time    actual time
# -------------  -------------
#   00:01:46.51    00:02:04.00
#
# Pre-search info for CM 3: snoPyro_CD
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -     132.369     9.72   0.0012  00:01:08.89
#   2   cm  cyk  loc  1e-07      42.146     9.06   0.0004  00:00:01.31
#   3   cm  ins  loc  1e-15     2.1e-06    38.00  9.9e-12  00:00:02.14
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:01:12.35
#
#
# CM: snoPyro_CD
#                                        target coord   query coord                         
#                              ----------------------  ------------                         
# target name                       start        stop  start   stop    bit sc   E-value  GC%
# ---------------------------  ----------  ----------  -----  -----  --------  --------  ---
#
# Post-search info for CM 3: snoPyro_CD
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -     132.369       77    0.0012   0.0008
#   2   cm  cyk  loc  1e-07      42.146       48    0.0004   0.0005
#   3   cm  ins  loc  1e-15     2.1e-06        0   9.9e-12  0.0e+00
#
# expected time    actual time
# -------------  -------------
#   00:01:12.35    00:00:58.00
#
# Pre-search info for CM 4: SIB_RNA
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -      42.113    11.42   0.0007  00:01:56.41
#   2   cm  cyk  loc  1e-07      13.374     8.99   0.0002  00:00:02.06
#   3   cm  ins  loc  1e-15     1.2e-11    56.00  1.5e-16  00:00:03.25
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:02:01.73
#
#
# CM: SIB_RNA
#                                        target coord   query coord                         
#                              ----------------------  ------------                         
# target name                       start        stop  start   stop    bit sc   E-value  GC%
# ---------------------------  ----------  ----------  -----  -----  --------  --------  ---
#
# Post-search info for CM 4: SIB_RNA
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -      42.113        2    0.0007  3.4e-05
#   2   cm  cyk  loc  1e-07      13.374        0    0.0002  0.0e+00
#   3   cm  ins  loc  1e-15     1.2e-11        0   1.5e-16  0.0e+00
#
# expected time    actual time
# -------------  -------------
#   00:02:01.73    00:01:58.00
#
# Pre-search info for CM 5: S15
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -      29.357    10.14   0.0006  00:02:18.98
#   2   cm  cyk  loc  1e-07       9.330     9.40   0.0002  00:00:02.33
#   3   cm  ins  loc  1e-15     2.0e-07    35.00  1.9e-12  00:00:03.31
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:02:24.62
#
#
# CM: S15
#                                        target coord   query coord                         
#                              ----------------------  ------------                         
# target name                       start        stop  start   stop    bit sc   E-value  GC%
# ---------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|169757190|gb|CP000949.1|      797995      798092      1    117     56.74  3.72e-14   52
#
# Post-search info for CM 5: S15
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -      29.357       14    0.0006   0.0003
#   2   cm  cyk  loc  1e-07       9.330        5    0.0002   0.0001
#   3   cm  ins  loc  1e-15     2.0e-07        1   1.9e-12  8.5e-06
#
# expected time    actual time
# -------------  -------------
#   00:02:24.62    00:01:36.00
#
# Pre-search info for CM 6: SAM
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -      79.379    10.73   0.0030  00:02:16.84
#   2   cm  cyk  loc  1e-07       3.976    11.19   0.0002  00:00:26.45
#   3   cm  ins  loc  1e-15     1.8e-08    44.00  1.6e-13  00:00:07.38
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:02:50.68
#
#
# CM: SAM
#                                        target coord   query coord                         
#                              ----------------------  ------------                         
# target name                       start        stop  start   stop    bit sc   E-value  GC%
# ---------------------------  ----------  ----------  -----  -----  --------  --------  ---
#
# Post-search info for CM 6: SAM
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -      79.379       17    0.0030   0.0006
#   2   cm  cyk  loc  1e-07       3.976        0    0.0002  0.0e+00
#   3   cm  ins  loc  1e-15     1.8e-08        0   1.6e-13  0.0e+00
#
# expected time    actual time
# -------------  -------------
#   00:02:50.68    00:01:34.00
#
# Pre-search info for CM 7: Purine
#
