# command:    /usr/local/infernal/1.0/bin/cmsearch --ga --tabfile rfam11-i1p0/Escherichia_coli_ISC56.29.tbl ./GPIPE.29.rfam11.i1p0.cm /panfs/pan1.be-md.ncbi.nlm.nih.gov/gpipe/bacterial_pipeline/data19/Escherichia_coli_ISC56/903568-DENOVO-20150227-1937.1486724/output/bacterial_annot/CBWT01.annotation.nucleotide.fa
# date:       Thu Apr  2 15:09:14 2015
# num seqs:   1186
# dbsize(Mb): 11.102570
#
# Pre-search info for CM 1: RNaseP_bact_a
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -      34.753     8.91   0.0022  00:04:11.50
#   2   cm  cyk  loc  1e-07       1.595     9.06   0.0001  00:00:33.32
#   3   cm  ins  loc  1e-15     1.5e-09    35.00  4.7e-14  00:00:14.50
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:04:59.34
#
#
# CM: RNaseP_bact_a
#                                              target coord   query coord                         
#                                    ----------------------  ------------                         
# target name                             start        stop  start   stop    bit sc   E-value  GC%
# ---------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|571157057|emb|CBWT010001103.1|        6214        5832      1    367    289.00  1.96e-98   62
#
# Post-search info for CM 1: RNaseP_bact_a
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -      34.753       22    0.0022   0.0016
#   2   cm  cyk  loc  1e-07       1.595        1    0.0001  6.0e-05
#   3   cm  ins  loc  1e-15     1.5e-09        1   4.7e-14  3.4e-05
#
# expected time    actual time
# -------------  -------------
#   00:04:59.34    00:05:20.00
#
# Pre-search info for CM 2: FMN
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -     220.840     7.27   0.0057  00:01:45.82
#   2   cm  cyk  loc  1e-07      10.624     8.67   0.0003  00:00:13.88
#   3   cm  ins  loc  1e-15     1.7e-05    32.00  2.0e-10  00:00:05.34
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:02:05.05
#
#
# CM: FMN
#                                              target coord   query coord                         
#                                    ----------------------  ------------                         
# target name                             start        stop  start   stop    bit sc   E-value  GC%
# ---------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|571161018|emb|CBWT010000432.1|         576         425      1    139    121.21  1.88e-30   59
#
# Post-search info for CM 2: FMN
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -     220.840      221    0.0057   0.0060
#   2   cm  cyk  loc  1e-07      10.624        6    0.0003   0.0002
#   3   cm  ins  loc  1e-15     1.7e-05        1   2.0e-10  1.4e-05
#
# expected time    actual time
# -------------  -------------
#   00:02:05.05    00:02:01.00
#
# Pre-search info for CM 3: snoPyro_CD
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -     138.733     9.74   0.0012  00:01:10.65
#   2   cm  cyk  loc  1e-07      44.185     8.97   0.0004  00:00:01.08
#   3   cm  ins  loc  1e-15       0.235    20.00  1.2e-06  00:00:01.27
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:01:13.01
#
#
# CM: snoPyro_CD
#                                              target coord   query coord                         
#                                    ----------------------  ------------                         
# target name                             start        stop  start   stop    bit sc   E-value  GC%
# ---------------------------------  ----------  ----------  -----  -----  --------  --------  ---
#
# Post-search info for CM 3: snoPyro_CD
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -     138.733       79    0.0012   0.0008
#   2   cm  cyk  loc  1e-07      44.185       45    0.0004   0.0004
#   3   cm  ins  loc  1e-15       0.235        0   1.2e-06  0.0e+00
#
# expected time    actual time
# -------------  -------------
#   00:01:13.01    00:00:51.00
#
# Pre-search info for CM 4: QUAD
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -      39.825    11.45   0.0007  00:01:51.92
#   2   cm  cyk  loc  1e-07      12.644     9.67   0.0002  00:00:01.48
#   3   cm  ins  loc  1e-15     2.9e-10    55.00  3.6e-15  00:00:03.12
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:01:56.52
#
#
# CM: QUAD
#                                              target coord   query coord                         
#                                    ----------------------  ------------                         
# target name                             start        stop  start   stop    bit sc   E-value  GC%
# ---------------------------------  ----------  ----------  -----  -----  --------  --------  ---
#
# Post-search info for CM 4: QUAD
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -      39.825       16    0.0007   0.0003
#   2   cm  cyk  loc  1e-07      12.644        0    0.0002  0.0e+00
#   3   cm  ins  loc  1e-15     2.9e-10        0   3.6e-15  0.0e+00
#
# expected time    actual time
# -------------  -------------
#   00:01:56.52    00:02:02.00
#
# Pre-search info for CM 5: S15
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -     110.697     8.11   0.0019  00:01:19.48
#   2   cm  cyk  loc  1e-07      13.078     8.99   0.0002  00:00:03.78
#   3   cm  ins  loc  1e-15     9.1e-04    25.00  9.2e-09  00:00:02.78
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:01:26.05
#
#
# CM: S15
#                                              target coord   query coord                         
#                                    ----------------------  ------------                         
# target name                             start        stop  start   stop    bit sc   E-value  GC%
# ---------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|571159808|emb|CBWT010000642.1|        5647        5532      1    116    113.49  5.69e-29   40
#
# Post-search info for CM 5: S15
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -     110.697      133    0.0019   0.0029
#   2   cm  cyk  loc  1e-07      13.078        8    0.0002   0.0002
#   3   cm  ins  loc  1e-15     9.1e-04        1   9.2e-09  1.0e-05
#
# expected time    actual time
# -------------  -------------
#   00:01:26.05    00:01:42.00
#
# Pre-search info for CM 6: SAM
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -     218.967     9.22   0.0050  00:01:22.22
#   2   cm  cyk  loc  1e-07      10.463     9.54   0.0002  00:00:11.57
#   3   cm  ins  loc  1e-15     2.1e-08    44.00  1.9e-13  00:00:04.20
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:01:38.00
#
#
# CM: SAM
#                                              target coord   query coord                         
#                                    ----------------------  ------------                         
# target name                             start        stop  start   stop    bit sc   E-value  GC%
# ---------------------------------  ----------  ----------  -----  -----  --------  --------  ---
#
# Post-search info for CM 6: SAM
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -     218.967      117    0.0050   0.0026
#   2   cm  cyk  loc  1e-07      10.463        1    0.0002  2.4e-05
#   3   cm  ins  loc  1e-15     2.1e-08        0   1.9e-13  0.0e+00
#
# expected time    actual time
# -------------  -------------
#   00:01:38.00    00:01:28.00
#
# Pre-search info for CM 7: Purine
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -     674.891     8.29   0.0085  00:01:09.89
#   2   cm  cyk  loc  1e-07      32.726    10.87   0.0004  00:00:10.56
#   3   cm  ins  loc  1e-15     1.9e-05    35.00  1.7e-10  00:00:03.27
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:01:23.73
#
#
# CM: Purine
#                                              target coord   query coord                         
#                                    ----------------------  ------------                         
# target name                             start        stop  start   stop    bit sc   E-value  GC%
# ---------------------------------  ----------  ----------  -----  -----  --------  --------  ---
#
# Post-search info for CM 7: Purine
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
