# command:    /usr/local/infernal/1.0/bin/cmsearch --ga --tabfile rfam11-i1p0/Paenibacillus_senegalensis_JC66.29.tbl ./GPIPE.29.rfam11.i1p0.cm /panfs/pan1.be-md.ncbi.nlm.nih.gov/gpipe/bacterial_pipeline/data19/Paenibacillus_senegalensis_JC66/409638-DENOVO-20150207-1527.1455894/output/bacterial_annot/CAES01.annotation.nucleotide.fa
# date:       Thu Apr  2 15:09:20 2015
# num seqs:   96
# dbsize(Mb): 11.229510
#
# Pre-search info for CM 1: RNaseP_bact_a
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -      35.151     8.91   0.0022  00:04:14.38
#   2   cm  cyk  loc  1e-07       1.613     9.06   0.0001  00:00:33.70
#   3   cm  ins  loc  1e-15     1.5e-09    35.00  4.7e-14  00:00:14.51
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:05:02.60
#
#
# CM: RNaseP_bact_a
#                                             target coord   query coord                         
#                                   ----------------------  ------------                         
# target name                            start        stop  start   stop    bit sc   E-value  GC%
# --------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|396301548|emb|HE610957.1|         1034522     1034111      1    367    262.90  2.68e-89   57
#
# Post-search info for CM 1: RNaseP_bact_a
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -      35.151       71    0.0022   0.0058
#   2   cm  cyk  loc  1e-07       1.613        1    0.0001  5.6e-05
#   3   cm  ins  loc  1e-15     1.5e-09        1   4.7e-14  3.7e-05
#
# expected time    actual time
# -------------  -------------
#   00:05:02.60    00:05:55.00
#
# Pre-search info for CM 2: FMN
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -     223.365     7.27   0.0057  00:01:47.03
#   2   cm  cyk  loc  1e-07      10.745     8.67   0.0003  00:00:14.04
#   3   cm  ins  loc  1e-15     1.7e-05    32.00  2.0e-10  00:00:05.51
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:02:06.59
#
#
# CM: FMN
#                                             target coord   query coord                         
#                                   ----------------------  ------------                         
# target name                            start        stop  start   stop    bit sc   E-value  GC%
# --------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|396301555|emb|HE610959.1|          519621      519451      1    139    108.27  7.95e-27   55
#
# Post-search info for CM 2: FMN
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -     223.365      291    0.0057   0.0078
#   2   cm  cyk  loc  1e-07      10.745        3    0.0003  7.7e-05
#   3   cm  ins  loc  1e-15     1.7e-05        1   2.0e-10  1.5e-05
#
# expected time    actual time
# -------------  -------------
#   00:02:06.59    00:02:05.00
#
# Pre-search info for CM 3: snoPyro_CD
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
