# command:    /usr/local/infernal/1.0/bin/cmsearch --ga --tabfile rfam12-i1p0/Sporosarcina_koreensis.29.tbl ./GPIPE.29.rfam12.i1p0.cm /panfs/pan1.be-md.ncbi.nlm.nih.gov/gpipe/bacterial_pipeline/data19/Sporosarcina_koreensis/1485998-DENOVO-20150121-0952.1441224/output/bacterial_annot/CDGU01.annotation.nucleotide.fa
# date:       Thu Apr  2 15:09:15 2015
# num seqs:   8
# dbsize(Mb): 5.824852
#
# Pre-search info for CM 1: RNaseP_bact_a
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -       0.685    13.57   0.0001  00:02:11.94
#   2   cm  cyk  loc  1e-07       0.217    11.64  4.0e-05  00:00:01.91
#   3   cm  ins  loc  1e-15     1.7e-30   100.00  1.1e-34  00:00:06.19
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:02:20.06
#
#
# CM: RNaseP_bact_a
#                                             target coord   query coord                         
#                                   ----------------------  ------------                         
# target name                            start        stop  start   stop    bit sc   E-value  GC%
# --------------------------------  ----------  ----------  -----  -----  --------  --------  ---
#
# Post-search info for CM 1: RNaseP_bact_a
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -       0.685        1    0.0001   0.0002
#   2   cm  cyk  loc  1e-07       0.217        1   4.0e-05   0.0002
#   3   cm  ins  loc  1e-15     1.7e-30        0   1.1e-34  0.0e+00
#
# expected time    actual time
# -------------  -------------
#   00:02:20.06    00:02:39.00
#
# Pre-search info for CM 2: FMN
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -       5.190    11.20   0.0004  00:00:55.92
#   2   cm  cyk  loc  1e-07       1.659    10.79   0.0001  00:00:00.84
#   3   cm  ins  loc  1e-15     5.0e-17    74.00  1.1e-21  00:00:02.44
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:00:59.21
#
#
# CM: FMN
#                                             target coord   query coord                         
#                                   ----------------------  ------------                         
# target name                            start        stop  start   stop    bit sc   E-value  GC%
# --------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|723784401|emb|CDGU01000004.1|       73540       73395      1    140    111.34  3.33e-27   58
  gi|723784398|emb|CDGU01000007.1|      837648      837516      1    140    114.40  4.90e-28   55
#
# Post-search info for CM 2: FMN
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -       5.190        7    0.0004   0.0006
#   2   cm  cyk  loc  1e-07       1.659        2    0.0001   0.0002
#   3   cm  ins  loc  1e-15     5.0e-17        2   1.1e-21  4.8e-05
#
# expected time    actual time
# -------------  -------------
#   00:00:59.21    00:01:00.00
#
# Pre-search info for CM 3: snoPyro_CD
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -      66.764     9.72   0.0012  00:00:23.16
#   2   cm  cyk  loc  1e-07      21.257     9.06   0.0004  00:00:00.28
#   3   cm  ins  loc  1e-15     1.0e-06    38.00  9.9e-12  00:00:00.67
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:00:24.12
#
#
# CM: snoPyro_CD
#                                             target coord   query coord                         
#                                   ----------------------  ------------                         
# target name                            start        stop  start   stop    bit sc   E-value  GC%
# --------------------------------  ----------  ----------  -----  -----  --------  --------  ---
#
# Post-search info for CM 3: snoPyro_CD
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -      66.764       60    0.0012   0.0013
#   2   cm  cyk  loc  1e-07      21.257       43    0.0004   0.0008
#   3   cm  ins  loc  1e-15     1.0e-06        0   9.9e-12  0.0e+00
#
# expected time    actual time
# -------------  -------------
#   00:00:24.12    00:00:27.00
#
# Pre-search info for CM 4: SIB_RNA
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -      21.241    11.42   0.0007  00:00:52.84
#   2   cm  cyk  loc  1e-07       6.745     8.99   0.0002  00:00:00.78
#   3   cm  ins  loc  1e-15     6.2e-12    56.00  1.5e-16  00:00:01.64
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:00:55.27
#
#
# CM: SIB_RNA
#                                             target coord   query coord                         
#                                   ----------------------  ------------                         
# target name                            start        stop  start   stop    bit sc   E-value  GC%
# --------------------------------  ----------  ----------  -----  -----  --------  --------  ---
#
# Post-search info for CM 4: SIB_RNA
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -      21.241        9    0.0007   0.0004
#   2   cm  cyk  loc  1e-07       6.745        0    0.0002  0.0e+00
#   3   cm  ins  loc  1e-15     6.2e-12        0   1.5e-16  0.0e+00
#
# expected time    actual time
# -------------  -------------
#   00:00:55.27    00:01:00.00
#
# Pre-search info for CM 5: S15
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -      14.807    10.14   0.0006  00:00:46.73
#   2   cm  cyk  loc  1e-07       4.706     9.40   0.0002  00:00:00.68
#   3   cm  ins  loc  1e-15     1.0e-07    35.00  1.9e-12  00:00:01.41
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:00:48.83
#
#
# CM: S15
#                                             target coord   query coord                         
#                                   ----------------------  ------------                         
# target name                            start        stop  start   stop    bit sc   E-value  GC%
# --------------------------------  ----------  ----------  -----  -----  --------  --------  ---
#
# Post-search info for CM 5: S15
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -      14.807       28    0.0006   0.0013
#   2   cm  cyk  loc  1e-07       4.706        6    0.0002   0.0003
#   3   cm  ins  loc  1e-15     1.0e-07        0   1.9e-12  0.0e+00
#
# expected time    actual time
# -------------  -------------
#   00:00:48.83    00:00:50.00
#
# Pre-search info for CM 6: SAM
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -      40.037    10.73   0.0030  00:00:43.13
#   2   cm  cyk  loc  1e-07       2.005    11.19   0.0002  00:00:06.67
#   3   cm  ins  loc  1e-15     9.1e-09    44.00  1.6e-13  00:00:03.15
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:00:52.96
#
#
# CM: SAM
#                                             target coord   query coord                         
#                                   ----------------------  ------------                         
# target name                            start        stop  start   stop    bit sc   E-value  GC%
# --------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|723784403|emb|CDGU01000002.1|       11647       11754      1    108     83.49  5.95e-20   57
  gi|723784401|emb|CDGU01000004.1|      220464      220363      1    108     89.56  1.14e-21   53
  gi|723784400|emb|CDGU01000005.1|       56172       56066      1    108     80.96  3.10e-19   49
  gi|723784398|emb|CDGU01000007.1|       61924       62029      1    108     83.34  6.57e-20   48
  gi|723784398|emb|CDGU01000007.1|       16027       16144      1    108     73.33  4.50e-17   58
  gi|723784397|emb|CDGU01000008.1|       69698       69797      1    108     72.11  9.97e-17   60
  gi|723784397|emb|CDGU01000008.1|      479471      479360      1    108     83.35  6.55e-20   55
#
# Post-search info for CM 6: SAM
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -      40.037       42    0.0030   0.0032
#   2   cm  cyk  loc  1e-07       2.005        8    0.0002   0.0006
#   3   cm  ins  loc  1e-15     9.1e-09        7   1.6e-13   0.0001
#
# expected time    actual time
# -------------  -------------
#   00:00:52.96    00:00:55.00
#
# Pre-search info for CM 7: Purine
#
#                                  cutoffs            predictions     
#                            -------------------  --------------------
# rnd  mod  alg  cfg   beta     E value   bit sc     surv     run time
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
#   1  hmm  fwd  loc      -     354.430     7.78   0.0084  00:00:36.66
#   2   cm  cyk  loc  1e-07      17.140    10.60   0.0004  00:00:05.54
#   3   cm  ins  loc  1e-15     3.8e-06    37.00  6.3e-11  00:00:01.71
# ---  ---  ---  ---  -----  ----------  -------  -------  -----------
# all    -    -    -      -           -        -        -  00:00:43.92
#
#
# CM: Purine
#                                             target coord   query coord                         
#                                   ----------------------  ------------                         
# target name                            start        stop  start   stop    bit sc   E-value  GC%
# --------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  gi|723784403|emb|CDGU01000002.1|        2172        2071      1    102     77.25  5.07e-17   46
  gi|723784403|emb|CDGU01000002.1|        3953        3852      1    102     75.84  1.22e-16   45
  gi|723784400|emb|CDGU01000005.1|      245354      245453      1    102     72.32  1.09e-15   36
  gi|723784398|emb|CDGU01000007.1|      863113      863012      1    102     87.88  6.81e-20   45
#
# Post-search info for CM 7: Purine
#
#                              number of hits       surv fraction  
#                            -------------------  -----------------
# rnd  mod  alg  cfg   beta    expected   actual  expected   actual
# ---  ---  ---  ---  -----  ----------  -------  --------  -------
#   1  hmm  fwd  loc      -     354.430       35    0.0084   0.0009
#   2   cm  cyk  loc  1e-07      17.140        4    0.0004  9.2e-05
#   3   cm  ins  loc  1e-15     3.8e-06        4   6.3e-11  7.0e-05
#
# expected time    actual time
# -------------  -------------
#   00:00:43.92    00:00:42.00
#
# Pre-search info for CM 8: Cobalamin
